"state_fips","county_fips","employment_march","establishments","payroll_quarter1","year"
1,1,9189,795,48727000,2001
1,3,43734,3910,222256000,2001
1,5,10516,575,61114000,2001
1,7,3294,330,17188000,2001
1,9,8131,720,44349000,2001
1,11,2122,136,9725000,2001
1,13,5311,488,27467000,2001
1,15,39752,2555,226489000,2001
1,17,10850,623,64285000,2001
1,19,3290,354,16070000,2001
1,21,6903,745,34494000,2001
1,23,3643,311,34098000,2001
1,25,7473,705,43682000,2001
1,27,4394,227,22228000,2001
1,29,2317,186,11738000,2001
1,31,11400,940,56689000,2001
1,33,18709,1316,105536000,2001
1,35,3710,238,20992000,2001
1,37,1270,116,7801000,2001
1,39,11013,889,59681000,2001
1,41,2716,244,13021000,2001
1,43,22526,1677,128874000,2001
1,45,9823,825,62865000,2001
1,47,14933,913,88526000,2001
1,49,21910,1208,118061000,2001
1,51,10225,1052,51392000,2001
1,53,11144,828,62392000,2001
1,55,32845,2133,180515000,2001
1,57,5345,352,31536000,2001
1,59,8920,589,45999000,2001
1,61,4020,527,17721000,2001
1,63,1413,135,6903000,2001
1,65,2950,230,15557000,2001
1,67,4157,327,22021000,2001
1,69,45434,2772,283889000,2001
1,71,13810,907,84681000,2001
1,73,356034,17397,2926810000,2001
1,75,4321,293,31652000,2001
1,77,30869,2043,158649000,2001
1,79,4872,405,37685000,2001
1,81,32564,2016,170152000,2001
1,83,17031,1118,127773000,2001
1,85,2229,144,21147000,2001
1,87,6304,232,37019000,2001
1,89,130045,7175,1020475000,2001
1,91,6381,499,41278000,2001
1,93,8964,724,48904000,2001
1,95,32889,1937,170922000,2001
1,97,152459,9227,1017802000,2001
1,99,7978,432,55774000,2001
1,101,110410,6019,719616000,2001
1,103,46206,2741,305269000,2001
1,105,1784,165,8172000,2001
1,107,2950,341,15042000,2001
1,109,9181,647,49650000,2001
1,111,5065,382,24455000,2001
1,113,10241,875,64705000,2001
1,115,12169,1128,73327000,2001
1,117,59016,3815,518860000,2001
1,119,2805,239,14632000,2001
1,121,21078,1343,133904000,2001
1,123,18837,805,105946000,2001
1,125,68658,3920,456484000,2001
1,127,14796,1392,88497000,2001
1,129,3368,246,37970000,2001
1,131,2499,221,16147000,2001
1,133,7561,407,39107000,2001
1,999,12196,55,76291000,2001
2,13,1941,45,11586000,2001
2,16,4472,110,24538000,2001
2,20,119466,7979,1209897000,2001
2,50,3576,211,21948000,2001
2,60,498,65,3616000,2001
2,68,310,65,4362000,2001
2,70,1317,90,9748000,2001
2,90,23024,2230,168325000,2001
