"year","cz","employment_march","establishments","payroll_quarter1"
2001,1,565813,26019,4362916000
2002,1,528213,26184,4253631000
2003,1,518658,25851,4408529000
2004,1,529208,25999,4516715000
2005,1,531720,26204,4724159000
2006,1,550339,26762,5132824000
2007,1,547849,26760,5260154000
2008,1,553699,26673,5532158000
2009,1,517910,25975,5069345000
2010,1,507401,25640,4877695000
2011,1,508117,25016,5046543000
2012,1,513754,25022,5370629000
2013,1,520996,25018,5551761000
2014,1,520690,25047,5694086000
2015,1,524537,25042,5681952000
2016,1,532333,25256,5833886000
2017,1,538046,25460,6207647000
2018,1,537312,25474,6387030000
2019,1,549464,25633,6506142000
2001,2,1134182,60120,9901188000
2002,2,1110422,61123,9741694000
2003,2,1129910,61878,9780711000
2004,2,1143815,63110,10239652000
2005,2,1143356,63653,10609631000
2006,2,1153242,63911,11731346000
2007,2,1153656,64328,12241593000
2008,2,1154418,63391,12376318000
2009,2,1100520,62649,11931087000
2010,2,1065294,62268,11469098000
2011,2,1070249,61437,11941031000
2012,2,1072745,61973,12472106000
2013,2,1086375,63847,12832536000
2014,2,1102773,65893,13509421000
2015,2,1121166,68448,14270883000
2016,2,1135115,70136,14174809000
2017,2,1145495,63459,15354636000
2018,2,1148249,65281,15779078000
2019,2,1147341,64518,16219493000
2001,3,20196,1220,160465000
2002,3,19299,1237,159122000
2003,3,17928,1218,145335000
2004,3,18650,1218,158148000
2005,3,19297,1271,159076000
2006,3,19752,1313,176680000
2007,3,25497,1360,227708000
2008,3,23095,1354,249225000
2009,3,22600,1320,242023000
2010,3,21416,1325,235428000
2011,3,21429,1310,240716000
2012,3,25267,1305,328979000
2013,3,25128,1328,355314000
2014,3,25332,1318,380881000
2015,3,24617,1341,359409000
2016,3,23078,1328,324199000
2017,3,23058,1336,316633000
2018,3,25337,1321,419497000
2019,3,25839,1340,429837000
2001,4,86797,5008,572663000
2002,4,81836,5051,506718000
2003,4,78220,4972,517899000
2004,4,76222,4956,520366000
2005,4,77345,4977,566855000
2006,4,81377,4993,573842000
2007,4,80582,4990,584123000
2008,4,82016,4971,649362000
2009,4,82388,4947,632206000
2010,4,79715,4925,618606000
2011,4,79745,4877,646830000
2012,4,79992,4852,649275000
2013,4,79563,4854,672308000
2014,4,81162,4818,690909000
2015,4,81882,4843,720053000
2016,4,82470,4842,753979000
2017,4,82863,4848,797853000
2018,4,84512,4807,843144000
2019,4,85578,4785,875222000
2001,5,1262665,79153,13138540000
2002,5,1172328,79276,11451045000
2003,5,1149532,79968,11372484000
2004,5,1150775,81398,11677072000
2005,5,1158099,83115,12218881000
2006,5,1196133,84561,13559031000
2007,5,1218205,85627,14394178000
2008,5,1253939,85084,15333568000
2009,5,1167061,83591,14448822000
2010,5,1139172,83389,13986630000
2011,5,1150639,83120,14594305000
2012,5,1195390,84754,15675904000
2013,5,1228029,86071,16319184000
2014,5,1280058,88197,17885961000
2015,5,1319950,90695,18682235000
2016,5,1355764,92831,18832438000
2017,5,1388008,95452,20429367000
2018,5,1423995,96912,21826868000
2019,5,1437601,98012,23177161000
2001,6,7238,786,34479000
2002,6,7154,807,36045000
2003,6,7472,823,38527000
2004,6,7429,836,40373000
2005,6,7820,845,42585000
2006,6,8116,847,46576000
2007,6,7554,876,46462000
2008,6,6686,842,47760000
2009,6,7711,849,50865000
2010,6,7730,865,50788000
2011,6,7653,843,51884000
2012,6,7893,828,56230000
2013,6,7802,831,59866000
2014,6,7976,842,62196000
2015,6,8172,852,63551000
2016,6,8384,845,68024000
2017,6,8345,859,68524000
2018,6,8715,852,73936000
2019,6,7912,827,72937000
2001,7,93949,6285,623130000
2002,7,90716,6323,612015000
2003,7,90612,6305,628102000
2004,7,95186,6337,667637000
2005,7,95583,6484,690470000
2006,7,100256,6484,777244000
2007,7,96524,6603,781413000
2008,7,98027,6580,832218000
2009,7,96025,6538,808483000
2010,7,94621,6524,808965000
2011,7,97054,6532,859546000
2012,7,100529,6598,960673000
2013,7,100859,6698,942671000
2014,7,101497,6759,977464000
2015,7,102087,6762,1013016000
2016,7,101853,6812,1032610000
2017,7,101992,6820,1060880000
2018,7,101386,6808,1084270000
2019,7,103724,6778,1149862000
2001,8,62960,4208,398107000
2002,8,62042,4324,397346000
2003,8,63493,4367,424173000
2004,8,65397,4379,425851000
2005,8,63230,4385,425615000
2006,8,64295,4408,452829000
2007,8,62160,4462,442819000
2008,8,61937,4334,451417000
2009,8,59266,4273,426409000
2010,8,55639,4206,410849000
2011,8,55904,4077,433094000
2012,8,58071,4034,478005000
2013,8,57404,3993,471413000
2014,8,56959,3992,473229000
2015,8,56526,3937,471757000
2016,8,56268,3930,468127000
2017,8,56236,3913,517432000
2018,8,55668,3882,503693000
2019,8,56340,3905,528257000
2001,9,2019393,109975,20700542000
2002,9,2004990,111889,20866761000
2003,9,2068741,112569,20759240000
2004,9,2016916,114317,20774247000
2005,9,2012720,115819,22008793000
2006,9,2127306,118866,25757927000
2007,9,2243081,121674,28494373000
2008,9,2275825,122499,31058161000
2009,9,2241134,122639,30286762000
2010,9,2186008,123633,29460900000
2011,9,2229426,124895,32428645000
2012,9,2347517,128069,35600545000
2013,9,2461853,130794,38079501000
2014,9,2520296,134028,40764621000
2015,9,2589620,137202,43510490000
2016,9,2590116,140292,41737343000
2017,9,2612662,143415,42637903000
2018,9,2642135,145661,44729755000
2019,9,2717850,147758,47659096000
2001,10,847509,42224,7081893000
2002,10,831776,42768,7008029000
2003,10,833724,43011,7101435000
2004,10,835745,43679,7401841000
2005,10,826312,43541,7390637000
2006,10,832247,43826,8308782000
2007,10,841169,44037,8772363000
2008,10,838216,43062,8943060000
2009,10,805278,42280,8379244000
2010,10,792053,42058,8150366000
2011,10,799231,41471,8631367000
2012,10,842126,41916,9425154000
2013,10,855453,42228,9715533000
2014,10,859502,42641,10356520000
2015,10,871630,43151,10623775000
2016,10,894439,43900,10801983000
2017,10,909686,44360,11435523000
2018,10,938708,44931,12220982000
2019,10,948455,45356,12780770000
2001,11,111443,6530,712509000
2002,11,111044,6720,753225000
2003,11,113104,6739,789123000
2004,11,116885,6882,827807000
2005,11,116428,7020,864171000
2006,11,122689,7128,969997000
2007,11,125808,7270,1066644000
2008,11,129489,7230,1147129000
2009,11,126400,7240,1106248000
2010,11,125169,7283,1072876000
2011,11,124775,7173,1120025000
2012,11,129003,7380,1201337000
2013,11,132327,7516,1293240000
2014,11,136052,7562,1399516000
2015,11,139568,7737,1475109000
2016,11,142623,7909,1529504000
2017,11,146140,8099,1644185000
2018,11,146865,8220,1750532000
2019,11,146834,8283,1766819000
2001,12,116939,7651,714451000
2002,12,119370,8166,751874000
2003,12,120131,8378,780202000
2004,12,122663,8655,806908000
2005,12,126062,8811,842100000
2006,12,129987,8966,953728000
2007,12,132255,8980,1036236000
2008,12,133397,8808,1072901000
2009,12,125482,8684,982702000
2010,12,124724,8677,979041000
2011,12,125349,8580,1013859000
2012,12,127479,8666,1107766000
2013,12,130227,8698,1134044000
2014,12,133145,8816,1187303000
2015,12,135953,8807,1278913000
2016,12,137313,8934,1309867000
2017,12,139888,9075,1432493000
2018,12,139962,9085,1480378000
2019,12,141116,9103,1521405000
2001,13,12545,1224,59391000
2002,13,11561,1248,57286000
2003,13,11473,1229,58146000
2004,13,11828,1219,61543000
2005,13,11602,1219,62209000
2006,13,11803,1197,70331000
2007,13,11503,1228,70643000
2008,13,11559,1239,72526000
2009,13,10845,1209,64653000
2010,13,10913,1195,63885000
2011,13,10632,1159,64768000
2012,13,10628,1153,70372000
2013,13,10531,1134,70110000
2014,13,10631,1111,73890000
2015,13,10671,1098,77927000
2016,13,10830,1079,78597000
2017,13,11366,1122,93584000
2018,13,11182,1112,89430000
2019,13,11385,1115,93427000
2001,14,500468,27876,4229110000
2002,14,494597,28333,4227973000
2003,14,489023,28848,4409145000
2004,14,499860,29653,4726792000
2005,14,499425,30143,5136242000
2006,14,514648,30736,5379789000
2007,14,515968,31314,5934562000
2008,14,520007,30981,6104563000
2009,14,494069,30270,5760945000
2010,14,466434,29956,5285127000
2011,14,468253,29481,5626106000
2012,14,465851,29863,5441827000
2013,14,505215,30095,5721660000
2014,14,497034,30409,6059567000
2015,14,520298,30742,6606160000
2016,14,530872,31135,6637356000
2017,14,541040,31770,7081143000
2018,14,555241,31895,7919507000
2019,14,562143,32128,8245453000
2001,15,305797,16553,2378992000
2002,15,303997,16761,2485940000
2003,15,307640,16925,2659027000
2004,15,308899,17089,2775834000
2005,15,314195,17360,2871572000
2006,15,323247,17686,3193092000
2007,15,328147,17985,3312731000
2008,15,332631,17864,3489753000
2009,15,321156,17632,3309072000
2010,15,312973,17659,3227225000
2011,15,311132,17472,3364479000
2012,15,324327,17670,3651261000
2013,15,330505,17828,3794154000
2014,15,337671,18069,4009723000
2015,15,347954,18427,4239756000
2016,15,356158,18909,4360508000
2017,15,360644,19540,4745940000
2018,15,367841,19791,4969393000
2019,15,370917,20051,5127589000
2001,16,310045,18338,2210899000
2002,16,311709,18676,2263768000
2003,16,314165,18703,2335232000
2004,16,322530,18857,2443509000
2005,16,327315,19266,2548501000
2006,16,353992,19881,2989774000
2007,16,357442,20629,3238229000
2008,16,358061,20595,3321020000
2009,16,355550,20371,3432225000
2010,16,348049,20312,3288583000
2011,16,345551,20310,3489623000
2012,16,356734,20388,3774928000
2013,16,377803,20432,4171944000
2014,16,379546,20487,4405447000
2015,16,379380,20734,4406563000
2016,16,384010,20918,4461051000
2017,16,387063,21164,4712400000
2018,16,386119,21184,4792244000
2019,16,393972,21309,5014655000
2001,17,283778,18133,1977310000
2002,17,276990,18350,1983580000
2003,17,288438,18523,2071955000
2004,17,290747,18726,2158489000
2005,17,294588,19090,2282232000
2006,17,312191,19706,2577105000
2007,17,313189,20144,2607392000
2008,17,309199,19845,2725843000
2009,17,291546,19324,2576113000
2010,17,282692,18936,2438452000
2011,17,279616,18709,2524277000
2012,17,279525,18821,2532669000
2013,17,281884,18805,2720788000
2014,17,282810,18799,2627865000
2015,17,296964,18811,2966118000
2016,17,310189,18874,3075291000
2017,17,306647,19073,3235412000
2018,17,309598,19035,3322746000
2019,17,313710,19064,3451381000
2001,18,81763,5859,588326000
2002,18,83442,6076,636629000
2003,18,87218,6178,676594000
2004,18,88254,6295,706308000
2005,18,88740,6371,744760000
2006,18,89761,6485,803675000
2007,18,91878,6846,844453000
2008,18,96956,6883,925908000
2009,18,92633,6784,879710000
2010,18,95300,6759,907046000
2011,18,96823,6776,996048000
2012,18,97696,6932,1017220000
2013,18,98618,6897,1023181000
2014,18,98966,7027,1021414000
2015,18,99783,7215,1044028000
2016,18,104912,7283,1120318000
2017,18,109137,7619,1211472000
2018,18,115329,7803,1368612000
2019,18,115764,7983,1402694000
2001,19,47401,3365,255349000
2002,19,48944,3461,269625000
2003,19,50708,3496,273445000
2004,19,51281,3569,280774000
2005,19,54974,3611,304530000
2006,19,53708,3690,332723000
2007,19,53507,3782,345330000
