"naics","employment_march","establishments","payroll_quarter1","year"
"113",77984,12795,502757000,2001
"114",9954,2636,75591000,2001
"115",95538,11016,513800000,2001
"211",87980,7691,1740963000,2001
"212",200735,7323,2276100000,2001
"213",196850,9305,2239944000,2001
"221",654484,17702,12103087000,2001
"233",1616973,215806,14930991000,2001
"234",901207,40476,8227567000,2001
"235",3973814,442616,32252013000,2001
"311",1470146,26785,10578114000,2001
"312",170864,3212,1783009000,2001
"313",308490,4452,2181601000,2001
"314",202022,6966,1262078000,2001
"315",441742,16152,2338612000,2001
"316",60567,1763,381409000,2001
"321",557507,17289,3776944000,2001
"322",533251,5739,5686501000,2001
"323",784520,37895,6875628000,2001
"324",103570,2253,1547115000,2001
"325",869761,13361,11709204000,2001
"326",1002503,15981,8178839000,2001
"327",524230,16732,4652358000,2001
"331",572512,6684,6017506000,2001
"332",1761358,60791,15585769000,2001
"333",1332854,28922,14230067000,2001
"334",1593307,16764,22810400000,2001
"335",575413,6940,5365600000,2001
"336",1753445,12627,21209083000,2001
"337",619197,20593,4381462000,2001
"339",713165,30718,6326026000,2001
"421",3633480,283435,43962062000,2001
"422",2508609,155489,25660574000,2001
"441",1850218,125728,15125538000,2001
"442",567318,65766,3314342000,2001
"443",425736,47747,2889717000,2001
"444",1249126,94135,8118254000,2001
"445",2963801,156261,12012699000,2001
"446",958072,81898,4904655000,2001
"447",927284,118892,3248672000,2001
"448",1392626,151668,5181234000,2001
"451",622261,64453,2220399000,2001
"452",2525974,41169,10063667000,2001
"453",841594,129311,3304383000,2001
"454",566279,42922,4765651000,2001
"481",608986,5451,7310905000,2001
"483",70462,1871,796909000,2001
"484",1397865,109814,11045304000,2001
"485",391561,16466,1860498000,2001
"486",50923,2785,1257136000,2001
"487",23414,2380,116508000,2001
"488",484611,31876,4237200000,2001
"492",577575,12855,4432231000,2001
"493",145266,7185,1086606000,2001
"511",1100931,32111,18573245000,2001
"512",297143,22782,2953795000,2001
"513",1777015,59675,25429478000,2001
"514",579609,22725,9114840000,2001
"521",23552,74,308846000,2001
"522",2917625,180764,36825582000,2001
"523",947060,76918,49960448000,2001
"524",2326133,164832,31330803000,2001
"525",34030,2440,613497000,2001
"531",1335298,241115,10868819000,2001
"532",652714,63759,4341942000,2001
"533",25661,2129,407926000,2001
"541",7156579,736454,90660512000,2001
"551",2879223,47559,60716209000,2001
"561",8761451,345916,51158883000,2001
"562",300536,16749,2694918000,2001
"611",2612430,70878,16149241000,2001
"621",4736631,466914,42658571000,2001
"622",5085005,7138,44378824000,2001
"623",2671457,65088,13211498000,2001
"624",2041633,132230,8311097000,2001
"711",361745,34840,4538694000,2001
"712",113545,6032,645256000,2001
"713",1305072,65089,5146316000,2001
"721",1752782,60196,8388769000,2001
"722",8219519,488373,22345340000,2001
"811",1343180,230867,9171858000,2001
"812",1311522,196810,5631061000,2001
"813",2715777,291725,12895733000,2001
"113",75822,12509,514116000,2002
"114",9244,2385,76666000,2002
"115",96096,11658,544267000,2002
"211",88280,7629,1968792000,2002
"212",194174,7205,2256744000,2002
"213",183321,9037,2119087000,2002
"221",648254,18432,12050372000,2002
"233",1585717,226394,15235782000,2002
"234",856312,39949,8226964000,2002
"235",3865341,443982,32183352000,2002
"311",1443766,25698,10626630000,2002
"312",163395,3232,1731549000,2002
"313",261655,4045,1876220000,2002
"314",190209,7332,1202463000,2002
"315",350439,13359,1971586000,2002
"316",47795,1549,311339000,2002
"321",534011,17052,3720145000,2002
"322",495990,5546,5375844000,2002
"323",706419,36902,6198110000,2002
"324",100403,2296,1617050000,2002
"325",827430,13096,11582439000,2002
"326",925607,15462,7774448000,2002
"327",475476,16674,4237115000,2002
"331",501038,6229,5307366000,2002
"332",1582399,61652,14066130000,2002
"333",1166221,27941,12546107000,2002
"334",1300411,15883,18619307000,2002
"335",502400,6601,4805279000,2002
"336",1578707,12202,19678512000,2002
"337",575128,22083,4099942000,2002
"339",664710,29507,6222528000,2002
"421",3443697,282959,40431435000,2002
"422",2416559,153941,24593696000,2002
"441",1890916,126644,15786271000,2002
"442",551567,66360,3277395000,2002
"443",418725,49600,2814908000,2002
"444",1270736,94109,8245567000,2002
"445",2883997,155677,12270321000,2002
"446",988347,82574,5165492000,2002
"447",895983,117100,3242830000,2002
"448",1408948,151895,5269727000,2002
"451",617726,65933,2254152000,2002
"452",2546094,41069,10516748000,2002
"453",822992,129997,3335695000,2002
"454",523873,44735,4418143000,2002
"481",548258,5512,6894220000,2002
"483",64268,1902,779121000,2002
"484",1333342,111308,10651716000,2002
"485",387325,17073,1919388000,2002
"486",50362,2701,1318778000,2002
"487",19333,2503,93121000,2002
"488",475466,33342,4207088000,2002
"492",553250,13173,3981015000,2002
"493",149409,7629,1132323000,2002
"511",1019976,32577,15815526000,2002
"512",278399,23021,2815957000,2002
"513",1698408,58712,24292798000,2002
"514",539337,24280,7848679000,2002
"521",23367,58,326906000,2002
"522",3006084,196160,39319165000,2002
"523",1008867,81690,43867930000,2002
"524",2342005,168976,31460045000,2002
"525",34260,3538,630465000,2002
"531",1351973,257195,10848875000,2002
"532",641322,63645,4332757000,2002
"533",24052,2184,360133000,2002
"541",7046205,772365,88099560000,2002
"551",2913798,49383,56320064000,2002
"561",7998637,325846,47659081000,2002
"562",300580,17698,2761478000,2002
"611",2701675,73701,17367685000,2002
"621",4917156,487747,45738714000,2002
"622",5121584,7569,47881477000,2002
"623",2770665,67900,14263585000,2002
"624",2090743,140324,8899292000,2002
"711",370329,38191,4652813000,2002
"712",116123,6633,690984000,2002
"713",1314539,65551,5203726000,2002
"721",1696701,61795,8023214000,2002
"722",8352174,503354,22850872000,2002
"811",1334875,233234,9232796000,2002
"812",1314320,206884,5741844000,2002
"813",2770892,300000,13705951000,2002
"113",75818,11914,526819000,2003
"114",8945,2474,72555000,2003
"115",95910,11473,556667000,2003
"211",83447,7493,1596634000,2003
"212",184423,6982,2176519000,2003
"213",186680,9124,2287533000,2003
"221",675938,18413,12710335000,2003
"236",1491688,219899,14316438000,2003
"237",910946,50905,8980317000,2003
"238",3978770,461371,32297435000,2003
"311",1495998,27274,11175092000,2003
"312",155161,3212,1716588000,2003
"313",254838,3840,1848064000,2003
"314",187526,7289,1217697000,2003
"315",303654,13376,1698598000,2003
"316",44113,1519,296228000,2003
"321",523984,16808,3765330000,2003
"322",482232,5456,5302183000,2003
"323",700221,36024,6180493000,2003
"324",98334,2299,1604144000,2003
"325",841375,13247,12195049000,2003
"326",921392,15019,7815768000,2003
"327",467644,16446,4189170000,2003
"331",479693,5725,5110928000,2003
"332",1518266,59407,13594614000,2003
"333",1129140,27459,12167117000,2003
"334",1189485,15426,16835900000,2003
"335",459993,6383,4434122000,2003
"336",1606713,12503,19914867000,2003
"337",564414,21716,4016371000,2003
"339",707844,31421,6717476000,2003
"423",3312720,254024,39845404000,2003
"424",2287616,138858,24449449000,2003
"425",263524,39655,2511199000,2003
"441",1921158,126989,15955533000,2003
"442",560717,65393,3238785000,2003
"443",419321,47746,2487129000,2003
"444",1189772,87748,7391322000,2003
"445",2883781,152582,12301602000,2003
"446",969863,82447,5124965000,2003
"447",936492,119464,3414745000,2003
"448",1467427,148012,5409089000,2003
"451",602996,61844,2120568000,2003
"452",2525180,41958,10768100000,2003
"453",819281,127644,3202029000,2003
"454",571837,54079,4624018000,2003
"481",533799,5478,6554030000,2003
"483",67329,1930,824877000,2003
"484",1423286,111581,11313031000,2003
"485",397949,17257,1864764000,2003
"486",41003,2733,907346000,2003
"487",22523,2532,106510000,2003
"488",504604,34481,4663370000,2003
"492",534112,14163,4289637000,2003
"493",543330,12518,4388208000,2003
"511",1049626,31336,16772537000,2003
"512",283797,22207,3061721000,2003
"515",286401,10372,4073391000,2003
"516",35606,2038,581756000,2003
"517",1415155,50142,21860626000,2003
"518",473910,19643,6759842000,2003
"519",55407,4289,452469000,2003
"521",21798,63,308933000,2003
"522",3114230,202063,43250421000,2003
"523",901641,84997,37214908000,2003
"524",2393188,170169,34290342000,2003
"525",32849,3299,679138000,2003
"531",1388276,267969,11603247000,2003
"532",627435,63180,4245655000,2003
"533",29027,2403,475392000,2003
"541",7340246,780870,94426324000,2003
"551",2879156,47432,57673880000,2003
"561",8170921,330288,48398863000,2003
"562",340217,18398,3176060000,2003
"611",2776615,76422,18074617000,2003
"621",5127801,498423,48577976000,2003
"622",5209757,6887,50333110000,2003
"623",2945955,69114,14862726000,2003
"624",2188670,141926,9354112000,2003
"711",394567,39123,4755256000,2003
"712",119999,6740,711860000,2003
"713",1318419,68128,5072965000,2003
"721",1803748,61262,8828823000,2003
"722",8635903,514085,24018214000,2003
"811",1304648,228584,8901645000,2003
"812",1309960,204710,5665085000,2003
"813",2752558,298673,13908441000,2003
"113",75966,11707,533705000,2004
"114",8705,2493,76309000,2004
"115",97450,11328,574764000,2004
"211",82879,7372,1724267000,2004
"212",189747,6991,2273235000,2004
"213",197654,9479,2440200000,2004
"221",634734,17675,12828770000,2004
"236",1578703,233617,15401518000,2004
"237",907839,50146,8789219000,2004
"238",4161099,476609,33574699000,2004
"311",1482261,26767,11227292000,2004
"312",154703,3359,1745526000,2004
"313",224224,3638,1669614000,2004
"314",171415,7117,1158303000,2004
"315",280278,12314,1600836000,2004
"316",43335,1475,296209000,2004
"321",534799,16783,3944963000,2004
"322",464894,5422,5287068000,2004
"323",673305,35321,6005128000,2004
"324",103927,2457,1931294000,2004
"325",823020,13364,12299243000,2004
"326",908100,14886,7913365000,2004
"327",472133,16714,4291306000,2004
"331",451142,5426,5149002000,2004
"332",1514595,59373,13715682000,2004
"333",1087944,27037,12162180000,2004
"334",1108339,15097,16493127000,2004
"335",439064,6294,4375887000,2004
"336",1625742,12705,20748995000,2004
"337",555368,21735,4016513000,2004
"339",703388,31799,6950386000,2004
