"employment_march","establishments","payroll_quarter1","year"
115061184,7095302,1012792300000,2001
112400654,7200770,986271261000,2002
113398043,7254745,997606711000,2003
115074924,7387724,1041948387000,2004
116317003,7499702,1089191663000,2005
119917165,7601160,1205334415000,2006
120604265,7705018,1274971624000,2007
120903551,7601169,1321096869000,2008
114509626,7433465,1227571160000,2009
111970095,7396628,1200243637000,2010
113425965,7354043,1278564448000,2011
115938468,7431808,1364679729000,2012
118266253,7488353,1411380886000,2013
121069944,7563084,1504360589000,2014
124085947,7663938,1576288214000,2015
126752238,7757807,1604399617000,2016
128591812,7860674,1712008089000,2017
130881471,7912405,1821516249000,2018
132989428,7959103,1910149270000,2019
134163349,8000178,2000569735000,2020
128346299,8148606,2014037035000,2021
