"state_fips","naics","employment_march","establishments","payroll_quarter1","year"
1,"113",6216,878,34330000,2001
1,"114",93,26,827000,2001
1,"115",1901,182,12730000,2001
1,"211",775,43,11339000,2001
1,"212",5242,140,61734000,2001
1,"213",1336,78,11248000,2001
1,"221",14896,510,321007000,2001
1,"233",33437,2915,253745000,2001
1,"234",15499,699,105152000,2001
1,"235",53535,5644,327536000,2001
1,"311",37285,298,209517000,2001
1,"312",2251,27,16598000,2001
1,"313",16319,94,100530000,2001
1,"314",7353,109,42930000,2001
1,"315",20604,276,96269000,2001
1,"316",178,22,661000,2001
1,"321",21840,459,143982000,2001
1,"322",15693,88,208410000,2001
1,"323",6344,420,47551000,2001
1,"324",2300,38,28185000,2001
1,"325",15014,200,191664000,2001
1,"326",19752,216,178309000,2001
1,"327",9541,328,78788000,2001
1,"331",19957,177,190949000,2001
1,"332",29282,977,225272000,2001
1,"333",16723,273,136110000,2001
1,"334",15303,137,136327000,2001
1,"335",7820,91,67009000,2001
1,"336",26081,202,282684000,2001
1,"337",15000,408,91033000,2001
1,"339",7712,360,54869000,2001
1,"421",47583,4185,449939000,2001
1,"422",32290,1799,263279000,2001
1,"441",30339,2720,215928000,2001
1,"442",8481,1193,42031000,2001
1,"443",4745,718,26558000,2001
1,"444",18540,1647,104876000,2001
1,"445",41761,2233,135137000,2001
1,"446",13061,1546,65262000,2001
1,"447",17356,2742,58527000,2001
1,"448",21246,2370,74037000,2001
1,"451",7466,899,23652000,2001
1,"452",47560,1077,182679000,2001
1,"453",11090,1920,40080000,2001
1,"454",5722,589,35612000,2001
1,"481",1224,50,7066000,2001
1,"483",453,22,4660000,2001
1,"484",29214,2178,210005000,2001
1,"485",1785,107,5731000,2001
1,"486",NA,47,NA,2001
1,"487",NA,39,NA,2001
1,"488",6330,390,55473000,2001
1,"492",5892,144,45726000,2001
1,"493",1929,124,11316000,2001
1,"511",10944,302,102389000,2001
1,"512",1508,151,4541000,2001
1,"513",20631,1034,212621000,2001
1,"514",3794,183,41408000,2001
1,"521",NA,1,NA,2001
1,"522",42349,3012,361818000,2001
1,"523",NA,522,NA,2001
1,"524",25496,2362,308378000,2001
1,"525",NA,16,NA,2001
1,"531",13431,2590,73189000,2001
1,"532",10231,1162,55539000,2001
1,"533",129,21,1084000,2001
1,"541",76061,8375,762071000,2001
