"year","state_fips","state_name","supersector","employment_march","establishments","payroll_quarter1"
2001,1,"Alabama","Agriculture and Mining",12010,1347,99718000
2002,1,"Alabama","Agriculture and Mining",12214,1375,108259000
2003,1,"Alabama","Agriculture and Mining",12230,1337,122765000
2004,1,"Alabama","Agriculture and Mining",11916,1323,111857000
2005,1,"Alabama","Agriculture and Mining",11246,1248,118322000
2006,1,"Alabama","Agriculture and Mining",11539,1224,131366000
2007,1,"Alabama","Agriculture and Mining",12452,1187,111696000
2008,1,"Alabama","Agriculture and Mining",10058,1151,116235000
2009,1,"Alabama","Agriculture and Mining",9203,1078,111434000
2010,1,"Alabama","Agriculture and Mining",10895,1080,136553000
2011,1,"Alabama","Agriculture and Mining",11376,1047,143835000
2012,1,"Alabama","Agriculture and Mining",9106,1048,115715000
2013,1,"Alabama","Agriculture and Mining",10654,1040,119430000
2014,1,"Alabama","Agriculture and Mining",8670,1037,115665000
2015,1,"Alabama","Agriculture and Mining",12863,1021,185645000
2016,1,"Alabama","Agriculture and Mining",10747,1028,141623000
2017,1,"Alabama","Agriculture and Mining",10086,944,138396000
2018,1,"Alabama","Agriculture and Mining",10791,951,170931000
2019,1,"Alabama","Agriculture and Mining",11952,956,200133000
2020,1,"Alabama","Agriculture and Mining",11926,946,198606000
2021,1,"Alabama","Agriculture and Mining",11086,954,179460000
2001,1,"Alabama","Construction",101803,9258,680894000
2002,1,"Alabama","Construction",94332,9182,678834000
2003,1,"Alabama","Construction",98083,9360,700569000
2004,1,"Alabama","Construction",104672,9578,729823000
2005,1,"Alabama","Construction",104978,9952,804504000
2006,1,"Alabama","Construction",110948,10212,902974000
2007,1,"Alabama","Construction",113457,10459,963137000
2008,1,"Alabama","Construction",110027,9880,1001743000
2009,1,"Alabama","Construction",94486,8863,881011000
2010,1,"Alabama","Construction",86886,8235,791199000
2011,1,"Alabama","Construction",78398,7784,751457000
2012,1,"Alabama","Construction",76318,7481,767772000
2013,1,"Alabama","Construction",76742,7359,775337000
2014,1,"Alabama","Construction",75478,7282,801322000
2015,1,"Alabama","Construction",78102,7317,828495000
2016,1,"Alabama","Construction",81364,7424,908223000
2017,1,"Alabama","Construction",82593,7535,994860000
2018,1,"Alabama","Construction",85912,7674,1054374000
2019,1,"Alabama","Construction",91457,7792,1155917000
2020,1,"Alabama","Construction",92712,7964,1220386000
2021,1,"Alabama","Construction",94890,8434,1237834000
2001,1,"Alabama","Education and Health Services",225598,9647,1551481000
2002,1,"Alabama","Education and Health Services",227488,10072,1628214000
2003,1,"Alabama","Education and Health Services",239404,10294,1761803000
2004,1,"Alabama","Education and Health Services",249834,10483,1863636000
2005,1,"Alabama","Education and Health Services",250373,10605,1879926000
2006,1,"Alabama","Education and Health Services",256079,10943,2052813000
2007,1,"Alabama","Education and Health Services",249058,11262,2111896000
2008,1,"Alabama","Education and Health Services",252276,11246,2219265000
2009,1,"Alabama","Education and Health Services",252421,11135,2254892000
2010,1,"Alabama","Education and Health Services",250387,11073,2230505000
2011,1,"Alabama","Education and Health Services",249137,10998,2278817000
2012,1,"Alabama","Education and Health Services",250745,11110,2462581000
2013,1,"Alabama","Education and Health Services",252904,11157,2500368000
2014,1,"Alabama","Education and Health Services",253625,11156,2521088000
2015,1,"Alabama","Education and Health Services",264467,11454,2670126000
2016,1,"Alabama","Education and Health Services",269274,11505,2735547000
2017,1,"Alabama","Education and Health Services",275968,11522,2927407000
2018,1,"Alabama","Education and Health Services",291177,11394,3161794000
2019,1,"Alabama","Education and Health Services",289276,11436,3261586000
2020,1,"Alabama","Education and Health Services",295421,11454,3272089000
2021,1,"Alabama","Education and Health Services",279764,11798,3273790000
2001,1,"Alabama","Financial Activities",95455,9686,891471000
2002,1,"Alabama","Financial Activities",98406,9970,988573000
2003,1,"Alabama","Financial Activities",94996,10183,1021906000
2004,1,"Alabama","Financial Activities",98654,10440,1117425000
2005,1,"Alabama","Financial Activities",99396,10798,1160390000
2006,1,"Alabama","Financial Activities",94917,10901,1158271000
2007,1,"Alabama","Financial Activities",95814,11710,1290782000
2008,1,"Alabama","Financial Activities",98232,11886,1447168000
2009,1,"Alabama","Financial Activities",94860,11417,1308615000
2010,1,"Alabama","Financial Activities",91507,11175,1190540000
2011,1,"Alabama","Financial Activities",89913,10884,1246915000
2012,1,"Alabama","Financial Activities",90934,11177,1334507000
2013,1,"Alabama","Financial Activities",88806,11011,1385955000
2014,1,"Alabama","Financial Activities",89985,11170,1500334000
2015,1,"Alabama","Financial Activities",92597,11262,1586703000
2016,1,"Alabama","Financial Activities",93295,11523,1570523000
