"uscode","naics","lfo","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","f<5","e<5nf","e<5","q<5nf","q<5","a<5nf","a<5","n<5","f5_9","e5_9nf","e5_9","q5_9nf","q5_9","a5_9nf","a5_9","n5_9","f10_19","e10_19nf","e10_19","q10_19nf","q10_19","a10_19nf","a10_19","n10_19","f20_49","e20_49nf","e20_49","q20_49nf","q20_49","a20_49nf","a20_49","n20_49","f50_99","e50_99nf","e50_99","q50_99nf","q50_99","a50_99nf","a50_99","n50_99","f100_249","e100_249nf","e100_249","q100_249nf","q100_249","a100_249nf","a100_249","n100_249","f250_499","e250_499nf","e250_499","q250_499nf","q250_499","a250_499nf","a250_499","n250_499","f500_999","e500_999nf","e500_999","q500_999nf","q500_999","a500_999nf","a500_999","n500_999","f1000","e1000nf","e1000","q1000nf","q1000","a1000nf","a1000","n1000"
"98","------","-",,"G",128591812,"G",1712008089,"G",6725346754,7860674,,"G",7126152,"G",73395884,"G",367279649,4274161,,"G",9525817,"G",93007046,"G",388749729,1436612,,"G",13544379,"G",136021221,"G",561752595,1001856,,"G",21570685,"G",226200763,"G",921557978,716339,,"G",16448441,"G",193410647,"G",769210875,239959,,"G",20216106,"G",272258956,"G",1055099577,135004,,"G",12077786,"G",189042044,"G",712267599,35784,,"G",8883226,"G",159874307,"G",590636885,13071,,"G",19199220,"G",368797221,"G",1358791867,7888
"98","------","C",,"G",55856671,"G",940997664,"G",3493494628,2091595,,"G",1578043,"G",23914543,"G",108841349,870550,,"G",2852640,"G",34160106,"G",136873020,427448,,"G",4574900,"G",55168121,"G",218652650,336409,,"G",7785521,"G",100051690,"G",391848249,257577,,"G",6850626,"G",97122202,"G",372019779,98897,,"G",10292036,"G",159282090,"G",598054190,68123,,"G",7042331,"G",125932478,"G",458088060,20869,,"G",5217522,"G",112786848,"G",400985307,7697,,"G",9663052,"G",232579586,"G",808132024,4025
"98","------","Z",,"G",34579852,"G",338914972,"G",1481360030,3395523,,"G",3205647,"G",31245281,"G",167316130,2022607,,"G",3977113,"G",37297007,"G",163037330,599559,,"G",5387164,"G",50073083,"G",217200158,400110,,"G",7812439,"G",72350686,"G",312225143,261329,,"G",4927081,"G",49285291,"G",209718517,72731,,"G",4554546,"G",49466219,"G",207881273,31026,,"G",1919066,"G",21172759,"G",88869015,5717,,"G",1163856,"G",11841645,"G",48501202,1729,,"G",1632940,"G",16183001,"G",66611262,715
"98","------","S",,"G",4718816,"G",39508712,"G",162724298,861976,,"G",1039793,"G",6262045,"G",30634820,655353,,"G",796192,"G",4945423,"G",20424455,123872,,"G",648852,"G",4264880,"G",17566772,49534,,"G",637706,"G",4877165,"G",19450939,21834,,"G",512270,"G",4140392,"G",16402264,7423,,"G",420464,"G",5409217,"G",19998901,2825,,"G",266633,"G",3570157,"G",14181641,784,,"G",157939,"G",2638018,"G",10957232,234,,"G",238967,"G",3401415,"G",13107274,117
"98","------","P",,"G",15160534,"G",177545165,"G",710815084,894584,,"G",744895,"G",7473983,"G",40295272,443510,,"G",1052231,"G",9776503,"G",40615087,158006,,"G",1724643,"G",16027571,"G",65707964,126185,,"G",3296532,"G",30219008,"G",121990944,108467,,"G",2430810,"G",26025502,"G",102583612,35830,,"G",2512914,"G",33357373,"G",128731121,17009,,"G",1254347,"G",20190289,"G",77632871,3738,,"G",823774,"G",13085200,"G",51924111,1225,,"G",1320388,"G",21389736,"G",81334102,614
"98","------","N",,"G",16350904,"G",184405526,"G",753623279,591435,,"G",539446,"G",4269397,"G",19187235,273154,,"G",808782,"G",6396747,"G",26035832,122003,,"G",1151065,"G",9799874,"G",39850294,85322,,"G",1935129,"G",17571277,"G",71530393,63748,,"G",1657380,"G",16053641,"G",65355310,24068,,"G",2285057,"G",22977724,"G",93257418,15048,,"G",1429832,"G",15929583,"G",64471092,4209,,"G",1299975,"G",16343417,"G",65783265,1873,,"G",5244238,"G",75063866,"G",308152440,2010
"98","------","G",,"G",1364805,"G",22659122,"G",92043713,3319,,"H",1222,"G",10068,"G",49333,507,,"G",5615,"G",32162,"G",132917,813,,"G",4888,"G",26186,"G",106325,384,,"G",3888,"G",37889,"G",157464,124,,"G",12035,"G",134424,"G",552923,159,,"G",75046,"G",838252,"G",3449094,448,,"G",109670,"G",1326684,"G",5401133,305,,"G",159261,"G",2148865,"G",8657330,224,,"G",993180,"G",18104592,"G",73537194,355
"98","------","O",,"G",560230,"G",7976928,"G",31285722,22242,,"G",17106,"G",220567,"G",955510,8480,,"G",33244,"G",399098,"G",1631088,4911,,"G",52867,"G",661506,"G",2668432,3912,,"G",99470,"G",1093048,"G",4354846,3260,,"G",58239,"G",649195,"G",2578470,851,,"G",76043,"G",928081,"G",3727580,525,,"G",55907,"G",920094,"G",3623787,162,,"G",60899,"H",1030314,"H",3828438,89,,"G",106455,"G",2075025,"G",7917571,52
"98","11----","-",,"G",164046,"G",1568178,"G",7013892,23363,,"G",23797,"G",195074,"G",1111833,16247,,"G",25031,"G",236694,"G",1050162,3790,,"G",24411,"G",265329,"G",1128824,1834,,"G",30692,"G",335779,"G",1423602,1033,,"G",19983,"G",205624,"G",872463,290,,"G",19523,"G",177600,"G",787041,132,,"G",9141,"G",73526,"G",307895,26,,"G",3365,"G",34159,"G",154808,6,,"G",8103,"G",44393,"G",177264,5
"98","11----","C",,"G",42993,"G",506127,"G",2130975,3358,,"G",3016,"G",33801,"G",190284,1775,,"G",4409,"G",50328,"G",212355,655,,"G",5725,"G",76762,"G",305521,433,,"G",9432,"G",119497,"G",494486,318,,"G",8569,"G",101874,"G",411647,122,,"G",6550,"G",71188,"G",300823,44,,"G",2137,"G",20521,"G",70339,6,,"G",2096,"G",26744,"G",118590,4,"N","N",0,"N",0,"N",0,"N"
