"uscode","naics","empflag","emp","qp1","ap","est","f1_4","e1_4","q1_4","a1_4","n1_4","f5_9","e5_9","q5_9","a5_9","n5_9","f10_19","e10_19","q10_19","a10_19","n10_19","f20_49","e20_49","q20_49","a20_49","n20_49","f50_99","e50_99","q50_99","a50_99","n50_99","f100_249","e100_249","q100_249","a100_249","n100_249","f250_499","e250_499","q250_499","a250_499","n250_499","f500_999","e500_999","q500_999","a500_999","n500_999","f1000","e1000","q1000","a1000","n1000"
"98","------",,115061184,1012792300,3989086323,7095302,,6522290,45538071,236849454,3817930,,9046774,60010562,250889736,1367420,,12111906,84949022,351142867,897693,,18780637,138625721,563652135,620918,,14774764,120113031,473045845,214900,,18706945,165859528,641560886,124913,,10984859,107931444,410698209,32226,,8357214,93043536,342319403,12277,,15775795,196721385,718927788,7025
"98","11----",,183476,1092148,4791849,26447,,27247,136771,753525,17639,,31520,177386,779967,4760,"D",0,0,0,2414,"D",0,0,0,1140,"D",0,0,0,327,,18191,108637,461181,124,,11919,65535,255959,35,"D",0,0,0,7,"D",0,0,0,1
"98","113///",,77984,502757,2161848,12795,,13581,67585,343126,7852,,18762,105702,444489,2821,,19367,126169,518112,1470,,15159,107841,459872,535,,6097,43070,179571,91,"D",0,0,0,18,"D",0,0,0,8,,0,0,0,0,,0,0,0,0
"98","1131//",,3203,29770,122992,441,"D",0,0,0,287,,510,4393,17957,77,,593,6524,23998,44,,627,7338,28857,23,"D",0,0,0,6,"D",0,0,0,3,"D",0,0,0,1,,0,0,0,0,,0,0,0,0
"98","11311/",,3203,29770,122992,441,"D",0,0,0,287,,510,4393,17957,77,,593,6524,23998,44,,627,7338,28857,23,"D",0,0,0,6,"D",0,0,0,3,"D",0,0,0,1,,0,0,0,0,,0,0,0,0
"98","113110",,3203,29770,122992,441,"D",0,0,0,287,,510,4393,17957,77,,593,6524,23998,44,,627,7338,28857,23,"D",0,0,0,6,"D",0,0,0,3,"D",0,0,0,1,,0,0,0,0,,0,0,0,0
"98","1132//",,2049,17223,70068,256,"D",0,0,0,144,,354,2869,12455,52,,420,3971,15950,31,,702,6371,25480,25,"D",0,0,0,3,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","11321/",,2049,17223,70068,256,"D",0,0,0,144,,354,2869,12455,52,,420,3971,15950,31,,702,6371,25480,25,"D",0,0,0,3,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","113210",,2049,17223,70068,256,"D",0,0,0,144,,354,2869,12455,52,,420,3971,15950,31,,702,6371,25480,25,"D",0,0,0,3,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","1133//",,72732,455764,1968788,12098,,12918,62958,320252,7421,,17898,98440,414077,2692,,18354,115674,478164,1395,,13830,94132,405535,487,,5446,37737,158782,82,"D",0,0,0,14,"D",0,0,0,7,,0,0,0,0,,0,0,0,0
"98","11331/",,72732,455764,1968788,12098,,12918,62958,320252,7421,,17898,98440,414077,2692,,18354,115674,478164,1395,,13830,94132,405535,487,,5446,37737,158782,82,"D",0,0,0,14,"D",0,0,0,7,,0,0,0,0,,0,0,0,0
"98","113310",,72732,455764,1968788,12098,,12918,62958,320252,7421,,17898,98440,414077,2692,,18354,115674,478164,1395,,13830,94132,405535,487,,5446,37737,158782,82,"D",0,0,0,14,"D",0,0,0,7,,0,0,0,0,,0,0,0,0
"98","114///",,9954,75591,340916,2636,,2259,13006,81172,2255,,1314,8179,35155,203,"D",0,0,0,93,"D",0,0,0,61,"D",0,0,0,11,"D",0,0,0,11,"D",0,0,0,1,"D",0,0,0,1,,0,0,0,0
"98","1141//",,7350,55845,258565,2252,,1880,11240,72369,1974,"D",0,0,0,146,"D",0,0,0,63,"D",0,0,0,49,"D",0,0,0,10,,1217,10191,41166,9,"D",0,0,0,1,,0,0,0,0,,0,0,0,0
"98","11411/",,7350,55845,258565,2252,,1880,11240,72369,1974,"D",0,0,0,146,"D",0,0,0,63,"D",0,0,0,49,"D",0,0,0,10,,1217,10191,41166,9,"D",0,0,0,1,,0,0,0,0,,0,0,0,0
"98","114111",,4586,40631,183490,1302,,1053,6133,41975,1133,"D",0,0,0,87,"D",0,0,0,37,,951,9067,31422,30,"D",0,0,0,7,"D",0,0,0,8,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","114112","H",0,0,0,936,,823,5090,30161,830,"D",0,0,0,58,"D",0,0,0,24,"D",0,0,0,19,"D",0,0,0,3,"D",0,0,0,1,"D",0,0,0,1,,0,0,0,0,,0,0,0,0
"98","114119","B",0,0,0,14,,4,17,233,11,"D",0,0,0,1,"D",0,0,0,2,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","1142//",,2604,19746,82351,384,,379,1766,8803,281,"D",0,0,0,57,"D",0,0,0,30,"D",0,0,0,12,"D",0,0,0,1,"D",0,0,0,2,,0,0,0,0,"D",0,0,0,1,,0,0,0,0
"98","11421/",,2604,19746,82351,384,,379,1766,8803,281,"D",0,0,0,57,"D",0,0,0,30,"D",0,0,0,12,"D",0,0,0,1,"D",0,0,0,2,,0,0,0,0,"D",0,0,0,1,,0,0,0,0
"98","114210",,2604,19746,82351,384,,379,1766,8803,281,"D",0,0,0,57,"D",0,0,0,30,"D",0,0,0,12,"D",0,0,0,1,"D",0,0,0,2,,0,0,0,0,"D",0,0,0,1,,0,0,0,0
"98","115///",,95538,513800,2289085,11016,,11407,56180,329227,7532,,11444,63505,300323,1736,,11430,68223,307739,851,,16411,100865,451417,544,,15487,80312,330198,225,,14228,69257,299752,95,"D",0,0,0,26,"D",0,0,0,6,"D",0,0,0,1
"98","1151//",,59615,310021,1463707,5464,,5171,27391,190938,3475,,6079,36240,184138,918,,6579,42139,199083,487,,10169,64794,299399,334,,10966,56313,233515,157,,10468,48283,211389,69,"D",0,0,0,20,"D",0,0,0,4,,0,0,0,0
"98","11511/",,59615,310021,1463707,5464,,5171,27391,190938,3475,,6079,36240,184138,918,,6579,42139,199083,487,,10169,64794,299399,334,,10966,56313,233515,157,,10468,48283,211389,69,"D",0,0,0,20,"D",0,0,0,4,,0,0,0,0
"98","115111",,2997,17479,93899,379,,317,1944,16115,183,,716,4125,23689,106,,769,4809,24588,57,,705,4214,18839,25,,490,2387,10668,8,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","115112",,12036,67881,358438,2435,,2637,12986,89862,1772,,2534,14170,73094,387,,2424,15124,73647,186,,2135,13724,59284,70,"D",0,0,0,12,"D",0,0,0,5,"D",0,0,0,3,,0,0,0,0,,0,0,0,0
"98","115113",,3940,16347,69781,375,,377,1802,11177,259,,384,2157,9280,60,,400,2241,11408,29,,554,3407,13833,18,"D",0,0,0,5,"D",0,0,0,1,"D",0,0,0,1,"D",0,0,0,2,,0,0,0,0
"98","115114",,29019,155172,699328,1113,,721,4020,31338,452,,1399,8379,44163,206,,1847,12195,55043,133,,4819,32590,165300,154,,7756,42032,175891,108,,7351,35120,146318,48,"D",0,0,0,10,"D",0,0,0,2,,0,0,0,0
"98","115115",,6643,22992,102632,566,,447,2502,22185,393,,489,2666,13503,75,,512,3215,15587,36,,1113,4502,19759,37,"D",0,0,0,13,"D",0,0,0,7,"D",0,0,0,5,,0,0,0,0,,0,0,0,0
"98","115116",,4980,30150,139629,596,,672,4137,20261,416,,557,4743,20409,84,,627,4555,18810,46,,843,6357,22384,30,"D",0,0,0,11,"D",0,0,0,8,"D",0,0,0,1,,0,0,0,0,,0,0,0,0
"98","1152//",,20750,106170,452312,3999,,4685,19312,90856,2983,,3844,17135,71819,585,,3338,15817,64941,252,,3549,17966,75379,128,,2308,12838,55720,37,,1403,10828,45403,10,"D",0,0,0,3,"D",0,0,0,1,,0,0,0,0
"98","11521/",,20750,106170,452312,3999,,4685,19312,90856,2983,,3844,17135,71819,585,,3338,15817,64941,252,,3549,17966,75379,128,,2308,12838,55720,37,,1403,10828,45403,10,"D",0,0,0,3,"D",0,0,0,1,,0,0,0,0
"98","115210",,20750,106170,452312,3999,,4685,19312,90856,2983,,3844,17135,71819,585,,3338,15817,64941,252,,3549,17966,75379,128,,2308,12838,55720,37,,1403,10828,45403,10,"D",0,0,0,3,"D",0,0,0,1,,0,0,0,0
"98","1153//",,15173,97609,373066,1553,,1551,9477,47433,1074,,1521,10130,44366,233,,1513,10267,43715,112,,2693,18105,76639,82,,2213,11161,40963,31,,2357,10146,42960,16,"D",0,0,0,3,"D",0,0,0,1,"D",0,0,0,1
"98","11531/",,15173,97609,373066,1553,,1551,9477,47433,1074,,1521,10130,44366,233,,1513,10267,43715,112,,2693,18105,76639,82,,2213,11161,40963,31,,2357,10146,42960,16,"D",0,0,0,3,"D",0,0,0,1,"D",0,0,0,1
"98","115310",,15173,97609,373066,1553,,1551,9477,47433,1074,,1521,10130,44366,233,,1513,10267,43715,112,,2693,18105,76639,82,,2213,11161,40963,31,,2357,10146,42960,16,"D",0,0,0,3,"D",0,0,0,1,"D",0,0,0,1
"98","21----",,485565,6257007,25014357,24319,,21103,184048,1041833,12730,,25364,236638,1053173,3802,,45495,464008,2010473,3316,,82675,918412,3780065,2705,"D",0,0,0,923,,86049,1246141,4687366,569,,63117,997266,3846114,179,,45494,644709,2462818,67,"D",0,0,0,28
"98","211///",,87980,1740963,6217777,7691,,8305,81030,374763,4948,"D",0,0,0,1167,,10198,157166,620840,747,,15847,276651,1021960,511,"D",0,0,0,176,,15266,408393,1317416,102,,9586,279683,918283,28,,7187,156279,449287,10,"D",0,0,0,2
"98","2111//",,87980,1740963,6217777,7691,,8305,81030,374763,4948,"D",0,0,0,1167,,10198,157166,620840,747,,15847,276651,1021960,511,"D",0,0,0,176,,15266,408393,1317416,102,,9586,279683,918283,28,,7187,156279,449287,10,"D",0,0,0,2
"98","21111/",,87980,1740963,6217777,7691,,8305,81030,374763,4948,"D",0,0,0,1167,,10198,157166,620840,747,,15847,276651,1021960,511,"D",0,0,0,176,,15266,408393,1317416,102,,9586,279683,918283,28,,7187,156279,449287,10,"D",0,0,0,2
"98","211111",,78394,1552433,5493358,7254,,8049,77009,353920,4821,"D",0,0,0,1083,,8791,133273,535773,647,,12997,222989,835025,421,,10115,214758,819157,149,,14566,393783,1258416,97,,8519,257264,842863,25,,7187,156279,449287,10,"D",0,0,0,1
"98","211112",,9586,188530,724419,437,,256,4021,20843,127,"D",0,0,0,84,,1407,23893,85067,100,,2850,53662,186935,90,"D",0,0,0,27,,700,14610,59000,5,,1067,22419,75420,3,,0,0,0,0,"D",0,0,0,1
"98","212///",,200735,2276100,9583696,7323,,4439,35323,247286,2616,"D",0,0,0,1246,,19596,170689,784451,1414,,38205,358290,1570272,1266,,28514,297824,1291413,414,,37505,466616,1891880,240,,30704,424520,1721205,86,,22076,298520,1166438,34,"D",0,0,0,7
"98","2121//",,70999,919627,3786164,1266,"D",0,0,0,361,"D",0,0,0,136,,2775,25962,102434,195,,8470,85959,346809,262,,9259,108512,473801,130,,18286,243281,975993,110,,19836,285599,1159781,54,,10972,156956,617909,18,,0,0,0,0
"98","21211/",,70999,919627,3786164,1266,"D",0,0,0,361,"D",0,0,0,136,,2775,25962,102434,195,,8470,85959,346809,262,,9259,108512,473801,130,,18286,243281,975993,110,,19836,285599,1159781,54,,10972,156956,617909,18,,0,0,0,0
"98","212111",,31439,399034,1680281,694,,302,3274,35592,199,,555,4500,19461,84,,1485,13132,55588,106,,4792,49317,202043,147,,5990,70270,299985,84,,8230,112215,456852,49,,6836,100652,418557,20,,3249,45674,192203,5,,0,0,0,0
"98","212112",,38848,513774,2080613,514,"D",0,0,0,138,"D",0,0,0,39,,1139,11591,42407,78,,3436,33944,135699,108,,3082,36338,165720,43,,10056,131066,519141,61,,13000,184947,741224,34,,7723,111282,425706,13,,0,0,0,0
"98","212113",,712,6819,25270,58,"D",0,0,0,24,"D",0,0,0,13,,151,1239,4439,11,,242,2698,9067,7,,187,1904,8096,3,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","2122//",,32810,434032,1650013,485,"D",0,0,0,279,"D",0,0,0,48,,648,7988,34587,48,,810,10183,35505,28,,1207,16184,58039,16,,5185,67594,254031,32,,5189,70655,275439,15,,9088,112469,438773,13,"D",0,0,0,6
"98","21221/",,7433,94330,357279,42,"D",0,0,0,16,"D",0,0,0,5,,94,713,2871,7,"D",0,0,0,3,,0,0,0,0,"D",0,0,0,2,"D",0,0,0,2,"D",0,0,0,5,"D",0,0,0,2
"98","212210",,7433,94330,357279,42,"D",0,0,0,16,"D",0,0,0,5,,94,713,2871,7,"D",0,0,0,3,,0,0,0,0,"D",0,0,0,2,"D",0,0,0,2,"D",0,0,0,5,"D",0,0,0,2
"98","21222/",,11222,158988,600658,288,"D",0,0,0,191,"D",0,0,0,29,,306,4726,20414,24,,434,5821,18664,14,,455,6583,25218,5,,2121,28730,105819,13,,2644,34116,134479,8,"D",0,0,0,2,"D",0,0,0,2
"98","212221",,10717,152515,574325,271,,269,3165,13951,179,"D",0,0,0,28,"D",0,0,0,23,"D",0,0,0,13,,455,6583,25218,5,"D",0,0,0,11,,2644,34116,134479,8,"D",0,0,0,2,"D",0,0,0,2
"98","212222",,505,6473,26333,17,"D",0,0,0,12,"D",0,0,0,1,"D",0,0,0,1,"D",0,0,0,1,,0,0,0,0,"D",0,0,0,2,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","21223/",,10679,130370,488165,84,"D",0,0,0,36,"D",0,0,0,8,"D",0,0,0,7,"D",0,0,0,5,,394,3767,11346,6,"D",0,0,0,11,,1557,22525,86724,4,"D",0,0,0,6,"D",0,0,0,1
"98","212231",,1994,22455,90448,29,"D",0,0,0,11,"D",0,0,0,4,"D",0,0,0,1,"D",0,0,0,1,"D",0,0,0,4,"D",0,0,0,7,"D",0,0,0,1,,0,0,0,0,,0,0,0,0
"98","212234",,8685,107915,397717,55,"D",0,0,0,25,"D",0,0,0,4,"D",0,0,0,6,"D",0,0,0,4,"D",0,0,0,2,"D",0,0,0,4,"D",0,0,0,3,"D",0,0,0,6,"D",0,0,0,1
"98","21229/",,3476,50344,203911,71,"D",0,0,0,36,"D",0,0,0,6,"D",0,0,0,10,"D",0,0,0,6,,358,5834,21475,5,,979,15802,59938,6,"D",0,0,0,1,,0,0,0,0,"D",0,0,0,1
"98","212291",,426,5833,22274,26,"D",0,0,0,13,"D",0,0,0,1,,60,647,2942,4,,150,1275,5261,5,"D",0,0,0,3,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","212299",,3050,44511,181637,45,"D",0,0,0,23,"D",0,0,0,5,"D",0,0,0,6,"D",0,0,0,1,"D",0,0,0,2,,979,15802,59938,6,"D",0,0,0,1,,0,0,0,0,"D",0,0,0,1
"98","2123//",,96926,922441,4147519,5572,"D",0,0,0,1976,,7266,54819,277788,1062,,16173,136739,647430,1171,,28925,262148,1187958,976,,18048,173128,759573,268,,14034,155741,661856,98,,5679,68266,285985,17,,2016,29095,109756,3,"D",0,0,0,1
"98","21231/",,45171,416785,1929868,2456,"D",0,0,0,682,,2949,22427,117518,425,,8507,72409,338577,605,,16172,146345,665764,559,,8804,85811,389536,131,,6627,65323,297619,51,"D",0,0,0,3,,0,0,0,0,,0,0,0,0
"98","212311",,2817,17470,90555,315,"D",0,0,0,166,"D",0,0,0,62,,699,4385,20273,52,,901,5885,29329,29,"D",0,0,0,5,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","212312",,26712,245639,1132382,1363,"D",0,0,0,333,,1663,12756,67488,235,,5287,45962,212286,379,,8542,72235,335134,297,,5197,53356,239252,79,,4848,45741,211557,38,"D",0,0,0,2,,0,0,0,0,,0,0,0,0
"98","212313",,7138,77777,336429,295,"D",0,0,0,44,"D",0,0,0,31,,972,9178,42084,65,,3776,41610,173343,131,"D",0,0,0,19,"D",0,0,0,4,"D",0,0,0,1,,0,0,0,0,,0,0,0,0
"98","212319",,8504,75899,370502,483,,285,1840,12336,139,,651,5187,28735,97,,1549,12884,63934,109,,2953,26615,127958,102,,1954,17992,87386,28,,1112,11381,50153,8,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","21232/",,37703,345752,1579743,2779,,2113,14323,88586,1172,,3936,29545,147881,580,,7027,59085,285274,519,,11186,101167,465590,367,,7217,68707,291432,107,,3865,46330,188427,27,,2359,26595,112553,7,,0,0,0,0,,0,0,0,0
"98","212321",,27968,244559,1180866,2464,,1938,12886,81959,1084,,3591,26611,136467,530,,6501,54486,267076,478,,8465,76432,365762,286,,4682,44608,194276,71,"D",0,0,0,11,"D",0,0,0,4,,0,0,0,0,,0,0,0,0
"98","212322",,2962,27782,116430,148,"D",0,0,0,40,"D",0,0,0,28,"D",0,0,0,24,,1450,13354,55164,44,,679,6776,29808,10,"D",0,0,0,2,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","212324",,3257,40437,153261,39,"D",0,0,0,3,"D",0,0,0,3,"D",0,0,0,3,"D",0,0,0,11,,550,5378,22006,8,,1209,17977,62470,8,"D",0,0,0,3,,0,0,0,0,,0,0,0,0
"98","212325",,3516,32974,129186,128,"D",0,0,0,45,,126,1146,4773,19,"D",0,0,0,14,"D",0,0,0,26,,1306,11945,45342,18,"D",0,0,0,6,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","21239/",,14052,159904,637908,337,"D",0,0,0,122,,381,2847,12389,57,,639,5245,23579,47,,1567,14636,56604,50,,2027,18610,78605,30,,3542,44088,175810,20,"D",0,0,0,7,,2016,29095,109756,3,"D",0,0,0,1
"98","212391",,4972,69641,269585,28,"D",0,0,0,8,,0,0,0,0,"D",0,0,0,1,"D",0,0,0,6,"D",0,0,0,3,,517,7790,31120,3,,1389,18416,73935,4,"D",0,0,0,2,"D",0,0,0,1
"98","212392",,2071,25208,94048,15,"D",0,0,0,2,"D",0,0,0,1,"D",0,0,0,2,"D",0,0,0,1,"D",0,0,0,1,"D",0,0,0,7,,0,0,0,0,"D",0,0,0,1,,0,0,0,0
"98","212393",,2083,23497,93015,46,"D",0,0,0,12,"D",0,0,0,9,,119,920,4195,9,,212,3513,10452,6,"D",0,0,0,4,"D",0,0,0,5,"D",0,0,0,1,,0,0,0,0,,0,0,0,0
"98","212399",,4926,41558,181260,248,"D",0,0,0,100,,317,2090,9473,47,,480,3830,17331,35,,1108,8746,36991,37,,1494,13375,56191,22,"D",0,0,0,5,"D",0,0,0,2,,0,0,0,0,,0,0,0,0
"98","213///",,196850,2239944,9212884,9305,,8359,67695,419784,5166,,9217,78140,350608,1389,,15701,136153,605182,1155,,28623,283471,1187833,928,,22971,255283,1021911,333,,33278,371132,1478070,227,,22827,293063,1206626,65,,16231,189910,847093,23,,39643,565097,2095777,19
"98","2131//",,196850,2239944,9212884,9305,,8359,67695,419784,5166,,9217,78140,350608,1389,,15701,136153,605182,1155,,28623,283471,1187833,928,,22971,255283,1021911,333,,33278,371132,1478070,227,,22827,293063,1206626,65,,16231,189910,847093,23,,39643,565097,2095777,19
"98","21311/",,196850,2239944,9212884,9305,,8359,67695,419784,5166,,9217,78140,350608,1389,,15701,136153,605182,1155,,28623,283471,1187833,928,,22971,255283,1021911,333,,33278,371132,1478070,227,,22827,293063,1206626,65,,16231,189910,847093,23,,39643,565097,2095777,19
"98","213111",,58528,625348,2647487,1654,,1436,10295,64903,901,,1513,13543,60730,227,,2652,24133,108457,189,,4860,54739,227369,152,,4831,54484,228383,69,,9994,112068,451060,64,,11221,125631,503230,31,,9871,120745,539237,14,,12150,109710,464118,7
"98","213112",,127801,1498111,6065115,6980,,6416,52802,317155,3916,,7040,59371,264025,1065,,11791,101648,448448,872,,21201,203086,851291,693,,16021,176663,692171,232,,21687,240105,953159,153,,9792,139884,599351,28,,6360,69165,307856,9,,27493,455387,1631659,12
"98","213113",,5568,55156,242079,326,"D",0,0,0,148,,370,2540,13242,53,,678,5329,23545,50,,1388,12882,54516,48,,1126,10925,46462,17,"D",0,0,0,8,"D",0,0,0,2,,0,0,0,0,,0,0,0,0
