"county_fips","cz","state_fips"
1,60,1
3,254,1
5,20,1
7,21,1
9,21,1
11,20,1
13,60,1
15,303,1
17,409,1
19,558,1
21,21,1
23,312,1
25,312,1
27,190,1
29,303,1
31,188,1
33,140,1
35,380,1
37,190,1
39,60,1
41,60,1
43,120,1
45,188,1
47,458,1
49,558,1
51,60,1
53,380,1
55,558,1
57,462,1
59,140,1
61,188,1
63,216,1
65,216,1
67,188,1
69,188,1
71,106,1
73,21,1
75,462,1
77,140,1
79,120,1
81,22,1
83,120,1
85,60,1
87,22,1
89,120,1
91,312,1
93,462,1
95,558,1
97,254,1
99,380,1
101,60,1
103,120,1
105,458,1
107,216,1
109,60,1
111,409,1
113,22,1
115,21,1
117,21,1
119,312,1
121,190,1
123,190,1
125,216,1
127,462,1
129,254,1
131,312,1
133,462,1
13,660,2
16,171,2
20,103,2
50,692,2
60,639,2
68,378,2
70,701,2
90,378,2
100,638,2
110,638,2
122,103,2
130,649,2
150,667,2
164,668,2
170,103,2
180,706,2
185,901,2
188,901,2
201,649,2
220,638,2
232,638,2
240,679,2
261,645,2
270,707,2
280,696,2
282,638,2
290,378,2
1,552,4
3,476,4
5,438,4
7,158,4
9,207,4
11,207,4
12,323,4
13,158,4
15,297,4
17,552,4
19,476,4
21,158,4
23,476,4
25,438,4
27,658,4
1,553,5
3,602,5
5,321,5
7,240,5
9,185,5
11,225,5
13,92,5
15,185,5
17,602,5
19,411,5
21,259,5
23,568,5
25,225,5
27,422,5
29,71,5
31,259,5
33,49,5
35,1,5
37,413,5
39,92,5
41,225,5
43,225,5
45,71,5
47,49,5
49,430,5
51,411,5
53,71,5
55,259,5
57,265,5
59,411,5
61,265,5
63,430,5
65,430,5
67,568,5
69,225,5
71,200,5
73,422,5
75,259,5
77,413,5
79,225,5
81,29,5
83,49,5
85,71,5
87,240,5
89,321,5
91,29,5
93,520,5
95,553,5
97,411,5
99,265,5
101,185,5
103,92,5
105,71,5
107,413,5
109,265,5
111,259,5
113,411,5
115,200,5
117,553,5
119,71,5
121,259,5
123,413,5
125,71,5
127,49,5
129,628,5
131,49,5
133,29,5
135,430,5
137,628,5
139,92,5
141,628,5
143,240,5
145,568,5
147,568,5
149,200,5
1,294,6
3,211,6
5,211,6
7,348,6
9,211,6
11,348,6
13,294,6
15,615,6
17,211,6
19,187,6
21,348,6
23,612,6
25,658,6
27,575,6
29,903,6
31,187,6
33,641,6
35,635,6
37,323,6
39,187,6
41,294,6
43,187,6
45,641,6
47,484,6
49,637,6
51,575,6
53,218,6
55,294,6
57,93,6
59,323,6
61,93,6
63,635,6
65,323,6
67,93,6
69,218,6
71,323,6
73,902,6
75,294,6
77,211,6
79,584,6
81,294,6
83,584,6
85,218,6
87,218,6
89,348,6
91,93,6
93,637,6
95,294,6
97,294,6
99,484,6
101,93,6
103,348,6
105,612,6
107,187,6
109,484,6
111,323,6
113,93,6
115,93,6
1,5,8
3,264,8
5,5,8
7,423,8
9,693,8
11,500,8
13,5,8
15,697,8
17,626,8
19,5,8
21,264,8
23,264,8
25,159,8
27,159,8
29,381,8
31,5,8
33,363,8
35,5,8
37,183,8
39,5,8
41,153,8
43,159,8
45,183,8
47,5,8
49,691,8
51,633,8
53,633,8
55,613,8
57,663,8
59,5,8
61,500,8
63,626,8
65,183,8
67,423,8
69,515,8
71,613,8
73,153,8
75,571,8
77,677,8
79,264,8
81,414,8
83,363,8
85,381,8
87,579,8
89,159,8
91,381,8
93,5,8
95,571,8
97,183,8
99,500,8
101,159,8
103,414,8
105,264,8
107,414,8
109,264,8
111,423,8
113,381,8
115,571,8
117,183,8
119,153,8
121,579,8
123,515,8
125,579,8
1,78,9
3,78,9
5,78,9
7,78,9
9,78,9
11,78,9
13,78,9
15,78,9
1,180,10
3,196,10
5,180,10
1,74,11
1,205,12
3,64,12
5,306,12
7,64,12
9,601,12
11,410,12
13,62,12
15,334,12
17,205,12
19,64,12
21,307,12
23,374,12
27,334,12
29,205,12
31,64,12
33,143,12
35,277,12
37,678,12
39,62,12
41,205,12
43,307,12
45,306,12
47,374,12
49,522,12
51,307,12
53,325,12
55,522,12
57,325,12
59,306,12
61,601,12
63,306,12
65,62,12
67,374,12
69,75,12
71,307,12
73,62,12
75,205,12
77,62,12
79,374,12
81,334,12
83,205,12
85,237,12
86,410,12
87,410,12
89,64,12
91,143,12
93,237,12
95,75,12
97,75,12
99,237,12
101,325,12
103,325,12
105,522,12
107,64,12
109,64,12
111,237,12
113,143,12
115,334,12
117,75,12
119,75,12
121,374,12
123,670,12
125,64,12
127,277,12
129,62,12
131,143,12
133,306,12
1,119,13
3,137,13
5,137,13
7,8,13
9,194,13
11,310,13
13,141,13
15,90,13
17,197,13
19,19,13
21,67,13
23,252,13
25,165,13
27,19,13
29,61,13
31,424,13
33,30,13
35,141,13
37,8,13
39,64,13
43,424,13
45,303,13
47,106,13
49,64,13
51,61,13
53,22,13
55,90,13
57,141,13
59,41,13
61,8,13
63,141,13
65,137,13
67,141,13
69,137,13
71,382,13
73,30,13
75,19,13
77,409,13
79,67,13
81,341,13
83,106,13
85,310,13
87,347,13
89,141,13
91,252,13
93,341,13
95,8,13
97,141,13
99,8,13
101,19,13
103,61,13
105,371,13
107,424,13
109,61,13
111,562,13
113,141,13
115,90,13
117,310,13
119,371,13
121,141,13
123,562,13
125,30,13
127,165,13
129,90,13
131,382,13
133,278,13
