"cz1","cz2","distance"
1,71,87.6656365988856
1,117,21.0493068708091
1,128,80.1699380436309
1,156,60.786297343026
1,166,60.6447553419189
1,189,20.6954171272569
1,209,56.048979639211
1,225,82.6972151243306
1,259,32.7318628489703
1,275,65.4989574191977
1,350,80.6910029767186
1,384,94.8802898425469
1,389,28.0814047082242
1,413,23.3614358149704
1,416,19.3578232452042
1,430,83.449775903598
1,446,83.9254419736393
1,457,91.0063045767859
1,480,99.7224978280999
1,494,47.9193142836681
1,520,27.5014951127921
1,553,47.5556770921988
1,560,62.4690894076816
1,568,54.8402559454787
2,44,75.1435318693253
2,66,46.0863478292414
2,85,25.3975752786244
2,122,37.514015294449
2,126,18.7918193877439
2,192,97.1328194599637
2,209,46.5613818708159
2,221,17.5726708381842
2,235,84.4915949657059
2,343,95.9180212754748
2,349,30.8678820596926
2,350,77.4472465857239
2,364,61.5758789289405
2,376,54.4577850332118
2,384,26.837054447953
2,399,27.401387819843
2,464,96.3063961505188
2,471,83.8353967989226
2,493,25.3879117761608
2,548,64.2393014113523
2,554,65.5673584329395
2,629,21.3178673266093
3,396,39.6384700324535
4,11,30.0142195430371
4,15,81.4672921025804
4,24,26.1631422439752
4,57,18.0420773381625
4,135,67.1017951983519
4,245,94.472589149243
4,295,82.6134843238605
4,329,67.3374252301304
4,401,71.4966062720666
4,429,21.2340531788429
4,437,84.1057870641595
4,467,78.4232801816756
4,504,22.2943422858622
4,509,95.7668647207945
4,518,58.3990630246769
4,532,73.4753933269901
4,563,67.2140756726686
4,564,30.0258127142769
4,597,41.4458232988813
4,603,18.7520419104892
4,620,49.3079683066916
4,621,56.3600382553144
5,153,34.9888065760222
5,159,56.053109181669
5,183,26.4043791214491
5,264,78.6151416643855
5,414,87.4304905455752
5,515,31.6979454982579
5,579,63.0853796448056
5,625,81.8487661725234
5,626,93.2804626402615
5,633,79.791635941583
5,663,69.0109267089689
5,676,97.3068713640393
5,691,34.8822129152504
5,697,40.7202180452576
6,135,82.8015388673551
6,260,56.3936506383472
6,324,54.6746068655319
6,335,32.2702155521748
6,459,56.4216501287873
6,474,52.3068969602764
6,556,97.1453244483473
6,642,74.5329768458106
6,646,45.8250203989871
6,680,29.9427208809132
6,684,24.429458022818
7,37,33.9772088279849
7,270,95.6085528678295
7,273,23.1833033613266
7,299,75.7422942679623
7,315,82.3106549830325
7,370,97.8944236175913
7,379,86.1652394732336
7,397,91.7158255900338
7,405,60.7153785971374
7,419,36.7438823305082
7,425,87.3031862881904
7,444,27.8890604625769
7,449,97.8757854562466
7,512,37.4559078940064
7,585,33.6028431421841
7,627,71.7863988031996
7,634,31.5668081699863
7,656,62.9718548679906
8,19,36.8933185030283
8,20,16.6472531972327
8,22,37.1892677085342
8,60,56.7601494847255
8,62,49.418623758697
8,67,54.1919942182384
8,79,19.4013637791137
8,119,62.9225813832794
8,137,58.9497516749502
8,143,85.9395536284755
8,188,17.7148849798172
8,190,98.1393460755221
8,194,93.6239743314478
8,197,16.5456636954253
8,247,77.1516781178286
8,252,52.431582810715
8,306,41.5330553020669
8,341,26.5282258972603
8,347,15.5994485291243
8,374,68.8398860966176
8,382,22.9877935974353
8,409,84.0941039492809
8,670,86.9838482872898
9,27,59.1356682306091
9,99,83.1263038487802
9,118,19.2371680306089
9,149,32.6226502330465
9,154,88.1078566035595
9,160,32.0651475135195
9,387,24.99421898447
9,475,53.1380342613278
9,485,71.8902133516324
9,551,55.2007870740763
9,588,18.3920098911947
9,690,80.7032794278525
10,38,23.5510901727787
10,59,53.9427474794516
10,77,75.0032874081004
10,81,22.0808019825552
10,89,55.0522527383786
10,116,68.7058302434364
10,136,64.1883134395989
10,148,23.2930815178528
10,170,57.1643837100869
10,181,96.0338731942766
10,203,98.2161283803353
10,213,71.6771775683442
10,222,41.1999778564727
10,296,85.8352847915837
10,311,89.8862521052374
10,318,22.2898410872571
10,327,19.408683410222
10,337,84.2703539673429
10,367,71.1977588053951
10,372,82.752050992532
10,391,21.4923510351684
10,400,24.2060876167426
10,404,50.4396464645288
10,417,53.1120673725219
10,432,82.3644192832784
10,442,22.0172356097257
10,448,86.7356639792493
10,536,23.6283977142219
11,4,30.0142195430371
11,57,59.1748994032594
11,83,84.2120549593304
11,135,20.3542169328491
11,301,70.0516644593898
11,335,86.1019571693845
11,429,27.1873067426112
11,437,23.4274628970447
11,467,27.1693771575372
11,491,75.2848458751936
11,504,19.4083145558835
11,518,58.3984428021283
11,532,84.6407979505755
11,563,25.9057804124126
11,564,69.3191303581346
11,591,71.6479392342843
11,603,80.6557165897047
11,614,85.2120216877232
11,620,29.2522073149892
11,642,97.4638337994378
12,47,17.7383299050551
12,83,73.4319724873859
12,144,87.2212766606607
12,179,72.6229955080855
12,204,96.816560725047
