"naics","sector","supersector"
11,"Agriculture, Forestry, Fishing and Hunting","Agriculture and Mining"
21,"Mining, Quarrying, and Oil and Gas Extraction","Agriculture and Mining"
22,"Utilities","Trade, Transportation, and Utilities"
23,"Construction","Construction"
31,"Manufacturing","Manufacturing"
42,"Wholesale Trade","Trade, Transportation, and Utilities"
44,"Retail Trade","Trade, Transportation, and Utilities"
48,"Transportation and Warehousing","Trade, Transportation, and Utilities"
51,"Information","Information"
52,"Finance and Insurance","Financial Activities"
53,"Real Estate and Rental and Leasing","Financial Activities"
54,"Professional, Scientific, and Technical Services","Professional and Business Services"
55,"Management of Companies and Enterprises","Professional and Business Services"
56,"Administrative and Support Services","Professional and Business Services"
61,"Educational Services","Education and Health Services"
62,"Health Care and Social Assistance","Education and Health Services"
71,"Arts, Entertainment, and Recreation","Leisure and Hospitality"
72,"Accommodation and Food Services","Leisure and Hospitality"
81,"Other Services (except Public Administration)","Other Services"
95,"Public Administration","Public Administration"
99,"Unclassified","Unclassified"
