"state","state_fips","year","cit","cit_flag"
"Alabama",1,1976,5,0
"Alabama",1,1977,5,0
"Alabama",1,1978,5,0
"Alabama",1,1979,5,0
"Alabama",1,1980,5,0
"Alabama",1,1981,5,0
"Alabama",1,1982,5,0
"Alabama",1,1983,5,0
"Alabama",1,1984,5,0
"Alabama",1,1985,5,0
"Alabama",1,1986,5,0
"Alabama",1,1987,5,0
"Alabama",1,1988,5,0
"Alabama",1,1989,5,0
"Alabama",1,1990,5,0
"Alabama",1,1991,5,0
"Alabama",1,1992,5,0
"Alabama",1,1993,5,0
"Alabama",1,1994,5,0
"Alabama",1,1995,5,0
"Alabama",1,1996,5,0
"Alabama",1,1997,5,0
"Alabama",1,1998,5,0
"Alabama",1,1999,5,0
"Alabama",1,2000,5,0
"Alabama",1,2001,6.5,0
"Alabama",1,2002,6.5,0
"Alabama",1,2003,6.5,0
"Alabama",1,2004,6.5,0
"Alabama",1,2005,6.5,0
"Alabama",1,2006,6.5,0
"Alabama",1,2007,6.5,0
"Alabama",1,2008,6.5,0
"Alabama",1,2009,6.5,0
"Alabama",1,2010,6.5,0
"Alabama",1,2011,6.5,0
"Alabama",1,2012,6.5,0
"Alaska",2,1976,9.4,0
"Alaska",2,1977,9.4,0
"Alaska",2,1978,9.4,0
"Alaska",2,1979,9.4,0
"Alaska",2,1980,9.4,0
"Alaska",2,1981,9.4,0
"Alaska",2,1982,9.4,0
"Alaska",2,1983,9.4,0
"Alaska",2,1984,9.4,0
"Alaska",2,1985,9.4,0
"Alaska",2,1986,9.4,0
"Alaska",2,1987,9.4,0
"Alaska",2,1988,9.4,0
"Alaska",2,1989,9.4,0
"Alaska",2,1990,9.4,0
"Alaska",2,1991,9.4,0
"Alaska",2,1992,9.4,0
"Alaska",2,1993,9.4,0
"Alaska",2,1994,9.4,0
"Alaska",2,1995,9.4,0
"Alaska",2,1996,9.4,0
"Alaska",2,1997,9.4,0
"Alaska",2,1998,9.4,0
"Alaska",2,1999,9.4,0
"Alaska",2,2000,9.4,0
"Alaska",2,2001,9.4,0
"Alaska",2,2002,9.4,0
"Alaska",2,2003,9.4,0
"Alaska",2,2004,9.4,0
"Alaska",2,2005,9.4,0
"Alaska",2,2006,9.4,0
"Alaska",2,2007,9.4,0
"Alaska",2,2008,9.4,0
"Alaska",2,2009,9.4,0
"Alaska",2,2010,9.4,0
"Alaska",2,2011,9.4,0
"Alaska",2,2012,9.4,0
"Arizona",4,1976,10.5,0
"Arizona",4,1977,10.5,0
"Arizona",4,1978,10.5,0
"Arizona",4,1979,10.5,0
"Arizona",4,1980,10.5,0
"Arizona",4,1981,10.5,0
"Arizona",4,1982,10.5,0
"Arizona",4,1983,10.5,0
"Arizona",4,1984,10.5,0
"Arizona",4,1985,10.5,0
"Arizona",4,1986,10.5,0
"Arizona",4,1987,10.5,0
"Arizona",4,1988,10.5,0
"Arizona",4,1989,10.5,0
"Arizona",4,1990,9.3,0
"Arizona",4,1991,9.3,0
"Arizona",4,1992,9.3,0
"Arizona",4,1993,9.3,0
"Arizona",4,1994,9,0
"Arizona",4,1995,9,0
"Arizona",4,1996,9,0
"Arizona",4,1997,9,0
"Arizona",4,1998,9,0
"Arizona",4,1999,7.968,0
"Arizona",4,2000,7.968,0
"Arizona",4,2001,6.968,0
"Arizona",4,2002,6.968,0
"Arizona",4,2003,6.968,0
"Arizona",4,2004,6.968,0
"Arizona",4,2005,6.968,0
"Arizona",4,2006,6.968,0
"Arizona",4,2007,6.968,0
"Arizona",4,2008,6.968,0
"Arizona",4,2009,6.968,0
