"state_fips","state_name","year","cit"
1,"Alabama",2000,5
1,"Alabama",2001,6.5
1,"Alabama",2002,6.5
1,"Alabama",2003,6.5
1,"Alabama",2004,6.5
1,"Alabama",2005,6.5
1,"Alabama",2006,6.5
1,"Alabama",2007,6.5
1,"Alabama",2008,6.5
1,"Alabama",2009,6.5
1,"Alabama",2010,6.5
1,"Alabama",2011,6.5
1,"Alabama",2012,6.5
1,"Alabama",2013,6.5
1,"Alabama",2014,6.5
1,"Alabama",2015,6.5
1,"Alabama",2016,6.5
1,"Alabama",2017,6.5
1,"Alabama",2018,6.5
1,"Alabama",2019,6.5
1,"Alabama",2020,6.5
2,"Alaska",2000,9.4
2,"Alaska",2001,9.4
2,"Alaska",2002,9.4
2,"Alaska",2003,9.4
2,"Alaska",2004,9.4
2,"Alaska",2005,9.4
2,"Alaska",2006,9.4
2,"Alaska",2007,9.4
2,"Alaska",2008,9.4
2,"Alaska",2009,9.4
2,"Alaska",2010,9.4
2,"Alaska",2011,9.4
2,"Alaska",2012,9.4
2,"Alaska",2013,9.4
2,"Alaska",2014,9.4
2,"Alaska",2015,9.4
2,"Alaska",2016,9.4
2,"Alaska",2017,9.4
2,"Alaska",2018,9.4
2,"Alaska",2019,9.4
2,"Alaska",2020,9.4
4,"Arizona",2000,7.968
4,"Arizona",2001,6.968
4,"Arizona",2002,6.968
4,"Arizona",2003,6.968
4,"Arizona",2004,6.968
4,"Arizona",2005,6.968
4,"Arizona",2006,6.968
4,"Arizona",2007,6.968
4,"Arizona",2008,6.968
4,"Arizona",2009,6.968
4,"Arizona",2010,6.968
4,"Arizona",2011,6.968
4,"Arizona",2012,6.968
4,"Arizona",2013,6.968
4,"Arizona",2014,6.5
4,"Arizona",2015,6
4,"Arizona",2016,5.5
4,"Arizona",2017,4.9
4,"Arizona",2018,4.9
4,"Arizona",2019,4.9
4,"Arizona",2020,4.9
5,"Arkansas",2000,6.5
5,"Arkansas",2001,6.5
5,"Arkansas",2002,6.5
5,"Arkansas",2003,6.5
5,"Arkansas",2004,6.5
5,"Arkansas",2005,6.5
5,"Arkansas",2006,6.5
5,"Arkansas",2007,6.5
5,"Arkansas",2008,6.5
5,"Arkansas",2009,6.5
5,"Arkansas",2010,6.5
5,"Arkansas",2011,6.5
5,"Arkansas",2012,6.5
5,"Arkansas",2013,6.5
5,"Arkansas",2014,6.5
5,"Arkansas",2015,6.5
5,"Arkansas",2016,6.5
5,"Arkansas",2017,6.5
5,"Arkansas",2018,6.5
5,"Arkansas",2019,6.5
5,"Arkansas",2020,6.5
6,"California",2000,8.84
6,"California",2001,8.84
6,"California",2002,8.84
6,"California",2003,8.84
6,"California",2004,8.84
6,"California",2005,8.84
6,"California",2006,8.84
6,"California",2007,8.84
6,"California",2008,8.84
6,"California",2009,8.84
6,"California",2010,8.84
6,"California",2011,8.84
6,"California",2012,8.84
6,"California",2013,8.84
6,"California",2014,8.84
6,"California",2015,8.84
6,"California",2016,8.84
6,"California",2017,8.84
6,"California",2018,8.84
6,"California",2019,8.84
6,"California",2020,8.84
8,"Colorado",2000,4.75
8,"Colorado",2001,4.63
8,"Colorado",2002,4.63
8,"Colorado",2003,4.63
8,"Colorado",2004,4.63
8,"Colorado",2005,4.63
8,"Colorado",2006,4.63
8,"Colorado",2007,4.63
8,"Colorado",2008,4.63
8,"Colorado",2009,4.63
8,"Colorado",2010,4.63
8,"Colorado",2011,4.63
8,"Colorado",2012,4.63
8,"Colorado",2013,4.63
8,"Colorado",2014,4.63
8,"Colorado",2015,4.63
8,"Colorado",2016,4.63
8,"Colorado",2017,4.63
8,"Colorado",2018,4.63
8,"Colorado",2019,4.63
