"state_fips","state_name","year","cit","cit_flag"
1,"Alabama",1976,5,0
1,"Alabama",1977,5,0
1,"Alabama",1978,5,0
1,"Alabama",1979,5,0
1,"Alabama",1980,5,0
1,"Alabama",1981,5,0
1,"Alabama",1982,5,0
1,"Alabama",1983,5,0
1,"Alabama",1984,5,0
1,"Alabama",1985,5,0
1,"Alabama",1986,5,0
1,"Alabama",1987,5,0
1,"Alabama",1988,5,0
1,"Alabama",1989,5,0
1,"Alabama",1990,5,0
1,"Alabama",1991,5,0
1,"Alabama",1992,5,0
1,"Alabama",1993,5,0
1,"Alabama",1994,5,0
1,"Alabama",1995,5,0
1,"Alabama",1996,5,0
1,"Alabama",1997,5,0
1,"Alabama",1998,5,0
1,"Alabama",1999,5,0
1,"Alabama",2000,5,0
1,"Alabama",2001,6.5,0
1,"Alabama",2002,6.5,0
1,"Alabama",2003,6.5,0
1,"Alabama",2004,6.5,0
1,"Alabama",2005,6.5,0
1,"Alabama",2006,6.5,0
1,"Alabama",2007,6.5,0
1,"Alabama",2008,6.5,0
1,"Alabama",2009,6.5,0
1,"Alabama",2010,6.5,0
1,"Alabama",2011,6.5,0
1,"Alabama",2012,6.5,0
2,"Alaska",1976,9.4,0
2,"Alaska",1977,9.4,0
2,"Alaska",1978,9.4,0
2,"Alaska",1979,9.4,0
2,"Alaska",1980,9.4,0
2,"Alaska",1981,9.4,0
2,"Alaska",1982,9.4,0
2,"Alaska",1983,9.4,0
2,"Alaska",1984,9.4,0
2,"Alaska",1985,9.4,0
2,"Alaska",1986,9.4,0
2,"Alaska",1987,9.4,0
2,"Alaska",1988,9.4,0
2,"Alaska",1989,9.4,0
2,"Alaska",1990,9.4,0
2,"Alaska",1991,9.4,0
2,"Alaska",1992,9.4,0
2,"Alaska",1993,9.4,0
2,"Alaska",1994,9.4,0
2,"Alaska",1995,9.4,0
2,"Alaska",1996,9.4,0
2,"Alaska",1997,9.4,0
2,"Alaska",1998,9.4,0
2,"Alaska",1999,9.4,0
2,"Alaska",2000,9.4,0
2,"Alaska",2001,9.4,0
2,"Alaska",2002,9.4,0
2,"Alaska",2003,9.4,0
2,"Alaska",2004,9.4,0
2,"Alaska",2005,9.4,0
2,"Alaska",2006,9.4,0
2,"Alaska",2007,9.4,0
2,"Alaska",2008,9.4,0
2,"Alaska",2009,9.4,0
2,"Alaska",2010,9.4,0
2,"Alaska",2011,9.4,0
2,"Alaska",2012,9.4,0
4,"Arizona",1976,10.5,0
4,"Arizona",1977,10.5,0
4,"Arizona",1978,10.5,0
4,"Arizona",1979,10.5,0
4,"Arizona",1980,10.5,0
4,"Arizona",1981,10.5,0
4,"Arizona",1982,10.5,0
4,"Arizona",1983,10.5,0
4,"Arizona",1984,10.5,0
4,"Arizona",1985,10.5,0
4,"Arizona",1986,10.5,0
4,"Arizona",1987,10.5,0
4,"Arizona",1988,10.5,0
4,"Arizona",1989,10.5,0
4,"Arizona",1990,9.3,0
4,"Arizona",1991,9.3,0
4,"Arizona",1992,9.3,0
4,"Arizona",1993,9.3,0
4,"Arizona",1994,9,0
4,"Arizona",1995,9,0
4,"Arizona",1996,9,0
4,"Arizona",1997,9,0
4,"Arizona",1998,9,0
4,"Arizona",1999,7.968,0
4,"Arizona",2000,7.968,0
4,"Arizona",2001,6.968,0
4,"Arizona",2002,6.968,0
4,"Arizona",2003,6.968,0
4,"Arizona",2004,6.968,0
4,"Arizona",2005,6.968,0
4,"Arizona",2006,6.968,0
4,"Arizona",2007,6.968,0
4,"Arizona",2008,6.968,0
4,"Arizona",2009,6.968,0
4,"Arizona",2010,6.968,0
4,"Arizona",2011,6.968,0
4,"Arizona",2012,6.968,0
5,"Arkansas",1976,6,0
5,"Arkansas",1977,6,0
5,"Arkansas",1978,6,0
5,"Arkansas",1979,6,0
5,"Arkansas",1980,6,0
5,"Arkansas",1981,6,0
5,"Arkansas",1982,6,0
5,"Arkansas",1983,6,0
5,"Arkansas",1984,6,0
5,"Arkansas",1985,6,0
5,"Arkansas",1986,6,0
5,"Arkansas",1987,6,0
5,"Arkansas",1988,6,0
