"state_name","cit","year"
"Alabama",5,2000
"Alabama",6.5,2001
"Alabama",6.5,2002
"Alabama",6.5,2003
"Alabama",6.5,2004
"Alabama",6.5,2005
"Alabama",6.5,2006
"Alabama",6.5,2007
"Alabama",6.5,2008
"Alabama",6.5,2009
"Alabama",6.5,2010
"Alabama",6.5,2011
"Alabama",6.5,2012
"Alabama",6.5,2013
"Alabama",6.5,2014
"Alabama",6.5,2015
"Alabama",6.5,2016
"Alabama",6.5,2017
"Alabama",6.5,2018
"Alabama",6.5,2019
"Alabama",6.5,2020
"Alaska",9.4,2000
"Alaska",9.4,2001
"Alaska",9.4,2002
"Alaska",9.4,2003
"Alaska",9.4,2004
"Alaska",9.4,2005
"Alaska",9.4,2006
"Alaska",9.4,2007
"Alaska",9.4,2008
"Alaska",9.4,2009
"Alaska",9.4,2010
"Alaska",9.4,2011
"Alaska",9.4,2012
"Alaska",9.4,2013
"Alaska",9.4,2014
"Alaska",9.4,2015
"Alaska",9.4,2016
"Alaska",9.4,2017
"Alaska",9.4,2018
"Alaska",9.4,2019
"Alaska",9.4,2020
"Arizona",7.968,2000
"Arizona",6.968,2001
"Arizona",6.968,2002
"Arizona",6.968,2003
"Arizona",6.968,2004
"Arizona",6.968,2005
"Arizona",6.968,2006
"Arizona",6.968,2007
"Arizona",6.968,2008
"Arizona",6.968,2009
"Arizona",6.968,2010
"Arizona",6.968,2011
"Arizona",6.968,2012
"Arizona",6.968,2013
"Arizona",6.5,2014
"Arizona",6,2015
"Arizona",5.5,2016
"Arizona",4.9,2017
"Arizona",4.9,2018
"Arizona",4.9,2019
"Arizona",4.9,2020
"Arkansas",6.5,2000
"Arkansas",6.5,2001
"Arkansas",6.5,2002
"Arkansas",6.5,2003
"Arkansas",6.5,2004
"Arkansas",6.5,2005
"Arkansas",6.5,2006
"Arkansas",6.5,2007
"Arkansas",6.5,2008
"Arkansas",6.5,2009
"Arkansas",6.5,2010
"Arkansas",6.5,2011
"Arkansas",6.5,2012
"Arkansas",6.5,2013
"Arkansas",6.5,2014
"Arkansas",6.5,2015
"Arkansas",6.5,2016
"Arkansas",6.5,2017
"Arkansas",6.5,2018
"Arkansas",6.5,2019
"Arkansas",6.5,2020
"California",8.84,2000
"California",8.84,2001
"California",8.84,2002
"California",8.84,2003
"California",8.84,2004
"California",8.84,2005
"California",8.84,2006
"California",8.84,2007
"California",8.84,2008
"California",8.84,2009
"California",8.84,2010
"California",8.84,2011
"California",8.84,2012
"California",8.84,2013
"California",8.84,2014
"California",8.84,2015
"California",8.84,2016
"California",8.84,2017
"California",8.84,2018
"California",8.84,2019
"California",8.84,2020
"Colorado",4.75,2000
"Colorado",4.63,2001
"Colorado",4.63,2002
"Colorado",4.63,2003
"Colorado",4.63,2004
"Colorado",4.63,2005
"Colorado",4.63,2006
"Colorado",4.63,2007
"Colorado",4.63,2008
"Colorado",4.63,2009
"Colorado",4.63,2010
"Colorado",4.63,2011
"Colorado",4.63,2012
"Colorado",4.63,2013
"Colorado",4.63,2014
"Colorado",4.63,2015
"Colorado",4.63,2016
"Colorado",4.63,2017
"Colorado",4.63,2018
"Colorado",4.63,2019
